No,Judul Masalah,Deskripsi Masalah,Pendekatan Solusi yang Direkomendasikan
1,Suara pecah dan distorsi di volume tinggi,Speaker mengalami distorsi saat volume dinaikkan. Suara tidak bersih dan pecah.,Cek power rating speaker vs output amplifier; pertimbangkan upgrade speaker atau turunkan gain amplifier
2,Bass kurang bertenaga,"Suara bass terasa tipis dan tidak menggetarkan, customer ingin bass yang lebih powerful untuk musik EDM, hip-hop, dan reggae.",Rekomendasikan subwoofer dedicated + amplifier mono; atur low-pass filter
3,"Speaker bawaan mobil jelek, mau ganti",Speaker original pabrik terasa flat dan tidak bertenaga. Customer ingin upgrade langsung terasa.,Mulai dari speaker coaxial 6.5 inch sebagai upgrade entry-level; pertimbangkan component untuk kualitas lebih baik
4,Vocal dan mid range kurang jelas,"Suara vocal penyanyi tidak terdengar jelas, tertutup bass atau musik. Mid range terasa tipis.",Upgrade ke speaker component dengan tweeter terpisah; pertimbangkan DSP untuk tuning EQ
5,Head Unit tidak bisa connect Bluetooth,Bluetooth di Head Unit tidak terdeteksi oleh HP atau sering putus-putus.,Reset pairing Bluetooth; update firmware head unit; jika masih gagal pertimbangkan penggantian head unit
6,"Soundstage sempit, suara terasa datar",Posisi suara terasa menyatu dan tidak ada kedalaman. Tidak terasa seperti live performance.,Pasang tweeter terpisah di posisi A-pillar; gunakan speaker component; aktifkan time alignment jika head unit mendukung
7,Ingin upgrade audio tapi budget terbatas,Customer mau upgrade sistem audio tapi perlu dilakukan bertahap sesuai budget.,"Prioritas: (1) speaker pintu, (2) head unit dengan DSP, (3) subwoofer aktif kolong, (4) amplifier"
8,Ingin audio lebih keras untuk kompetisi/sound pressure,Customer ingin sistem audio yang sangat keras untuk keperluan kompetisi SPL atau sound pressure.,Sistem SPL: amplifier mono berdaya besar + subwoofer berimpedansi rendah; pertimbangkan boks ported
9,Build sistem audio baru dari nol,Customer baru beli mobil dan mau langsung build sistem audio yang lengkap dan bagus.,Paket lengkap: head unit android + speaker component + amplifier 4ch + subwoofer + amplifier mono + kabel instalasi
10,Ingin upgrade dari single DIN ke double DIN,Customer punya mobil dengan head unit single DIN lama dan ingin upgrade ke double DIN dengan layar lebih besar dan fitur modern.,Cek tipe dashboard mobil; siapkan dash kit; rekomendasikan head unit double DIN dengan CarPlay/Android Auto
11,Ingin install audio tapi tidak mau potong kabel,Customer ingin upgrade audio mobil tetapi tidak mau merusak kabel original pabrik. Ingin instalasi yang reversible dan rapi.,Gunakan harness adapter plug-and-play; pilih head unit dengan konektor ISO standard; hindari pemotongan kabel OEM
12,Ingin bass yang dalam tapi tidak berisik ke luar,Customer ingin bass yang kuat di dalam kabin tetapi tidak mengganggu orang sekitar atau tetangga saat malam hari.,Subwoofer sealed box untuk bass tight dan tidak bocor; atur frekuensi low-pass filter di bawah 80Hz
13,Audio sering mati atau trouble dalam panas,Sistem audio mobil sering mati sendiri atau trouble saat cuaca panas. Amplifier overheat. Head unit restart sendiri.,Periksa ventilasi amplifier; pastikan gain tidak terlalu tinggi; cek ground connection; gunakan kabel power berukuran cukup
14,Butuh audio yang cocok untuk keluarga dan anak-anak,"Customer butuh sistem audio yang aman untuk anak-anak, volume bisa dibatasi, dan ada fitur entertainment seperti layar untuk video.",Head unit android dengan parental control; speaker coaxial front + rear; subwoofer kolong untuk bass ringan
15,—,— (entri ke-15 ada di database namun tidak muncul dalam 30 kueri pengujian NDCG),—
